OBJECTID,GISJOIN,longitude,latitude,orig_parish,current_parish,census_year,census_state,census_state_code,census_county_code,census_county,total_pop,nwfree_pop,nwslave_pop,white_pop,yeardate_format
81,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1830,Louisiana,220,770,Pointe Coupee,5936,255,4210,1471,1830-01-01
82,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1840,Louisiana,220,770,Pointe Coupee,7898,381,5430,2087,1840-01-01
83,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1850,Louisiana,220,770,Pointe Coupee,11339,560,7811,2968,1850-01-01
84,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1860,Louisiana,220,770,Pointe Coupee,17718,721,12903,4094,1860-01-01
85,G4170295,-92.41075828,31.33035004,Rapides,Rapides,1810,Orleans Territory,417,295,Rapides,2200,123,1081,996,1810-01-01
86,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1820,Louisiana,220,790,Rapides,6065,85,3489,2491,1820-01-01
87,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1830,Louisiana,220,790,Rapides,7575,113,5329,2133,1830-01-01
88,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1840,Louisiana,220,790,Rapides,14132,378,10511,3243,1840-01-01
89,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1850,Louisiana,220,790,Rapides,16561,184,11340,5037,1850-01-01
90,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1860,Louisiana,220,790,Rapides,25360,291,15358,9711,1860-01-01
91,G4170115,-91.45887343,31.77555313,Concordia,Concordia,1810,Orleans Territory,417,115,Concordia,2895,35,1581,1279,1810-01-01
92,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1820,Louisiana,220,290,Concordia,2626,12,1787,827,1820-01-01
93,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1830,Louisiana,220,290,Concordia,4662,20,3617,1025,1830-01-01
94,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1840,Louisiana,220,290,Concordia,9414,31,8003,1380,1840-01-01
95,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1850,Louisiana,220,290,Concordia,7758,1,6934,823,1850-01-01
96,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1860,Louisiana,220,290,Concordia,13805,21,12542,1242,1860-01-01
